;Opp;annee;PTS_diff;AST_diff;TRB_diff;FGA;TOV;PF;BLK_diff;STL_diff
0;ATL;2020;1.0026339501355828;0.08498655581890999;0.07582906429489701;9.001821493624773;1.4134790528233152;2.087431693989071;0.14118743037724027;0.14392740140887048
1;ATL;2021;0.23448499205260642;0.007584865959969679;-0.025681112225149617;8.627906976744185;1.1627906976744187;1.9651162790697674;0.027454188995128182;0.052718657773555055
2;BOS;2020;-0.28596371606492577;-0.1796388346535804;-0.08188866910950003;8.885764499121265;1.460456942003515;2.063268892794376;0.043792226418131366;-0.050650454915321656
3;BOS;2021;-0.16886224818831355;-0.15137258827355615;-0.1652155830778366;8.487179487179487;1.3543123543123543;1.902097902097902;-0.010547135586984517;-0.04857737959451532
4;BRK;2020;0.3079737239410304;-0.16880869463911372;0.18143361941767802;9.363636363636363;1.2237762237762237;2.089160839160839;0.04109253548146792;-0.06376023578354505
5;BRK;2021;0.25293735338611706;-0.048252091906345065;-0.27781911597647646;8.72;1.1422222222222222;1.791111111111111;-0.03091882062231258;0.005168140933230813
6;CHI;2020;-0.14922155608445442;0.15201895054559963;0.038728981062809684;8.438133874239352;1.8275862068965518;1.9006085192697768;0.1265546049458082;0.05538176892479707
7;CHI;2021;0.3337536014521978;0.012042516981296377;-0.07375774522002931;8.52731591448931;1.2589073634204275;1.7862232779097387;0.03745099639989282;0.1325993111920882
8;CHO;2020;-0.29877184569851306;0.28443592096331133;0.16150744491618008;8.733590733590734;1.3532818532818534;2.028957528957529;0.02250051435292566;0.04461788191414273
9;CHO;2021;-0.1362549706536739;0.2748353986096908;0.037153092501049215;8.60364464692483;1.4236902050113895;1.8382687927107062;-0.011464859353623898;0.09237047348672975
10;CLE;2020;0.26507327679415055;0.1637841319819479;-0.23378447161236973;8.751824817518248;1.2554744525547445;1.8667883211678833;0.12521209259705882;0.17037578882864868
11;CLE;2021;-0.10688725318249043;-0.12486507132645502;-0.08798050669347515;7.900662251655629;1.3112582781456954;1.8167770419426048;0.08304223206790327;0.03568597552169215
12;DAL;2020;-0.06324986303258522;-0.06724925365811033;0.06508161349282712;9.203305785123966;1.1603305785123967;2.1421487603305787;-0.05130119705035907;-0.078074634650216
13;DAL;2021;-0.07860539888943129;-0.2065156499894784;-0.018203471604182828;8.308755760368664;1.1866359447004609;1.8824884792626728;-0.1036784887844399;-0.03064197723232648
14;DEN;2020;-0.26679413350104864;0.17061483889985138;-0.2856736262272933;8.655536028119508;1.3919156414762741;2.0597539543057994;-0.07575132710191163;-0.03660286400399635
15;DEN;2021;-0.18444962627486763;0.15116073350530984;-0.3299455936116038;8.148984198645598;1.2686230248306998;1.8465011286681716;-0.022920613844996718;-0.029429937762127288
16;DET;2020;-0.0479234267932055;0.002349477552752009;-0.10057212539714756;8.8212927756654;1.3536121673003803;1.9961977186311788;0.08887960094845515;0.04051941982205272
17;DET;2021;-0.1834073309272551;0.028463171042154997;0.0759807238542717;8.514150943396226;1.4245283018867925;2.044811320754717;0.10241040539275412;0.023303690630725092
18;GSW;2020;0.08205495563865234;0.14420928347269918;0.0936144230400544;8.67403314917127;1.4604051565377532;1.9576427255985267;0.001687991943106456;0.04695597315309408
19;GSW;2021;-0.03538035475409322;-0.12001167214450156;0.16532671501999746;8.139433551198257;1.4074074074074074;1.8671023965141613;-0.021112850864527126;-0.0066758953894681
20;HOU;2020;0.3101358550543141;0.13126798882670776;0.3554450624873413;9.14795918367347;1.5357142857142858;2.122448979591837;0.008942220410501195;0.05775832358931031
21;HOU;2021;-0.004649134637752845;-0.05180396924188886;0.32310747909785525;8.261061946902656;1.3738938053097345;1.8584070796460177;0.024239130556547986;0.05650451395312428
22;IND;2020;-0.12548982632141972;-0.11301433355595202;0.2280859463261098;9.033101045296167;1.461672473867596;1.8397212543554007;-0.015566869475212443;-0.04546655909131201
23;IND;2021;0.0611214084257241;0.07905797389243006;0.1046364215539735;8.549295774647888;1.4342723004694835;1.7746478873239437;0.05004749235861893;-0.008518694707129204
24;LAC;2020;-0.5562201725508924;-0.08791673117211551;-0.06482554033754322;9.04159445407279;1.3830155979202774;2.2062391681109186;-0.05385376584588845;-0.04914237795907854
25;LAC;2021;-0.614383214822952;-0.22092032082726124;-0.3563700096316983;8.15268817204301;1.1956989247311829;1.7204301075268817;-0.09523252648378798;-0.04392092795235013
26;LAL;2020;-0.4520415403214889;-0.12465399771377884;-0.3475154572155899;8.749579831932772;1.495798319327731;2.1092436974789917;-0.10257515763872395;0.05393945999172083
27;LAL;2021;-0.8527631553408216;-0.06250919542691821;-0.33352935273359724;8.11727078891258;1.3070362473347548;1.980810234541578;-0.08284973051518697;0.025802460348170766
28;MEM;2020;-0.02968492423685856;-0.01877871010363628;-0.0699814502842314;8.888524590163934;1.4213114754098362;1.9721311475409835;0.02540501095284805;0.06852135920231894
29;MEM;2021;-0.03864658161653025;0.040347761828502714;-0.018339613070058314;8.106024096385543;1.3662650602409638;1.7060240963855422;0.04191113051858267;0.015150840134682956
30;MIA;2020;-0.2919741057736713;-0.003165049309556245;-0.23160259278852324;8.711571675302245;1.4058721934369602;2.1899827288428324;-0.07376933858284937;-0.05899818515055579
31;MIA;2021;-0.6203248261397221;-0.017128962698662827;-0.010606865616086739;8.379464285714286;1.390625;1.9598214285714286;-0.0791370135983368;0.026470211758986194
32;MIL;2020;-0.4314654460102455;0.005440447636046355;0.21469788242263;9.225255972696246;1.3668941979522184;2.1245733788395906;-0.04476426222164849;-0.025222276814470323
33;MIL;2021;0.2323028336397075;0.10560835931283442;-0.08637851604389596;8.64142538975501;1.2026726057906458;1.730512249443207;0.00035361097582737076;-0.04508177017785705
34;MIN;2020;0.537029993798301;-0.06788713738659961;0.15338255618081653;9.183044315992293;1.5086705202312138;2.138728323699422;0.08968697525410903;-0.004732780084605744
35;MIN;2021;0.4782424470057959;0.20863243742987675;0.21916798155932665;8.665158371040723;1.4321266968325792;1.8484162895927603;0.07975250836891576;0.0020590779646196726
36;NOP;2020;0.5081261325411955;0.06335747266043097;0.08663109174095776;9.054888507718696;1.411663807890223;2.1012006861063464;-0.001971833333826889;0.11959709450932454
37;NOP;2021;0.4007076726127513;0.2097050309012388;-0.3061171491595179;8.535046728971963;1.2102803738317758;2.0046728971962615;0.0627675805609242;0.013654798152758626
38;NYK;2020;-0.048576286169953714;-0.056922420431710384;-0.12249475157648582;8.50377358490566;1.3396226415094339;1.890566037735849;0.01779682327059759;-0.07015725555691547
39;NYK;2021;-0.55768928610299;-0.14295424693505815;-0.003079335210981354;8.157303370786517;1.1685393258426966;1.7370786516853933;0.10208904811658158;-0.07243492541694176
40;OKC;2020;-0.19026383383663503;-0.11315061776198548;0.014169548313819925;9.025951557093425;1.4083044982698962;2.301038062283737;-0.07961620483194973;-0.06296929874372013
41;OKC;2021;0.11338125004122715;0.07110224183498026;0.3248725333374317;8.754545454545454;1.184090909090909;1.7431818181818182;0.016650577721200852;0.09162572457700384
42;ORL;2020;-0.2926552762350463;0.056834442871320306;0.07264108257950119;8.801754385964912;1.4719298245614034;1.943859649122807;-0.022433086630269324;-0.05753672203091935
43;ORL;2021;0.30630230676579007;0.1416251463197387;0.3201126370463524;8.470183486238533;1.224770642201835;1.7270642201834863;0.031236747049059016;0.056200171396725215
44;PHI;2020;-0.6047055713398888;-0.20464852354612362;-0.3760536256234075;8.785840707964601;1.336283185840708;2.0123893805309736;-0.05832427043435331;-0.0535929811575799
45;PHI;2021;0.15558529744161284;-0.016978587701325515;-0.07349408597852507;8.46896551724138;1.4275862068965517;2.0114942528735633;-0.05609123093021363;0.03770950077048924
46;PHO;2020;0.3573756640325925;-0.11987911471898222;-0.17051544185211398;8.87263339070568;1.4819277108433735;2.2237521514629948;0.037820626010403015;0.05278557450779652
47;PHO;2021;-0.13823691025791995;-0.21092600931312722;-0.1096127578624793;8.353711790393014;1.2183406113537119;1.724890829694323;-0.1084658051746946;-0.06372253248186009
48;POR;2020;0.6593026818687996;0.08854505187212255;0.282833383337791;9.253756260434058;1.2854757929883138;2.036727879799666;0.002872317681608272;-0.046456632606351925
49;POR;2021;0.47463235650634455;0.11994745706694414;0.06589525807547131;8.622425629290618;1.1990846681922196;1.794050343249428;-0.0318354871508842;-0.09547381422415252
50;SAC;2020;-0.002760086563390387;0.03959092858375627;-0.1241800615082284;8.385521885521886;1.4141414141414141;1.893939393939394;-0.08936000876814167;0.031709553795121824
51;SAC;2021;0.8290989697395127;0.13517747818498746;0.1667193025357227;8.817351598173516;1.221461187214612;1.8812785388127853;-0.025405899528935707;0.00977841815200896
52;SAS;2020;0.03991938121553478;0.10782518810977677;0.055515255682052615;9.117338003502628;1.3064798598949212;2.021015761821366;-0.06335808143102428;-0.08632276332544042
53;SAS;2021;0.12898367580876693;0.024798981029346294;0.4597621956789984;8.488151658767773;1.2180094786729858;1.7251184834123223;0.051137643342004865;-0.1304320089972226
54;TOR;2020;-0.8136959118912579;0.02927189256981867;-0.05051105878685713;8.611764705882353;1.6218487394957983;1.9243697478991597;0.02458609817808481;-0.06858067524125848
55;TOR;2021;-0.028844799939182784;0.1638880452307591;0.10973605753641662;8.229545454545455;1.5318181818181817;1.9568181818181818;0.07175431640871895;-0.09685214983946211
56;UTA;2020;-0.09372693547811564;-0.2338829189248291;-0.08364688771866416;9.063604240282686;1.1784452296819787;2.088339222614841;-0.04795283654223318;0.006655270607540656
57;UTA;2021;-0.7213808032576523;-0.2726827736361807;-0.2502401822278199;8.105150214592275;0.9892703862660944;1.740343347639485;-0.07495582849741309;-0.04454686204041673
58;WAS;2020;1.0210261919170516;0.08691047534020897;0.26519454010650334;8.931034482758621;1.5982758620689654;2.1758620689655173;0.03811888389180262;-0.011510232294126517
59;WAS;2021;0.6682887288241869;-0.06803611948108769;0.2269851982911226;8.705336426914153;1.320185614849188;2.148491879350348;0.002016189768585054;0.04785893123937648
